Project,Symbol,Round,Total Raised,Pre-Valuation,Investors,Ecosystem,Categories,ROI,Date,Quarter Flag,source_url
AtlasOra,AORA,Public Sale,—,—,—,,Blockchain Service,—,"Mar 18, 2026",0,https://icodrops.com/idos/
WorldX,WLDX,IDO on Fjord Foundry,—,$25 M,—,,Exchange,—,"Mar 15, 2026",0,https://icodrops.com/worldx/
Katana,KAT,Binance Wallet Airdrop,—,$118.6 M,—,,Blockchain,—,"Mar 3, 2026",0,https://icodrops.com/katana/
Unitas,UP,Binance Wallet Sale,$13.33 M,$5 M,3,,Stablecoin Issuer,35.78x,"Mar 13, 2026",0,https://icodrops.com/unitas/
Midnight,NIGHT,Binance HODLer Airdrops,—,—,—,,Blockchain,—,"Mar 11, 2026",0,https://icodrops.com/midnight-2/
Nebula3GameFi,SN3,Binance Alpha Airdrop,$5 M,—,,,GameFi,—,"Mar 11, 2026",0,https://icodrops.com/nebula3gamefi/
Opinion Labs,OPN,Binance Alpha Airdrop,$25 M,$191 M,6,,Predictions,—,"Mar 5, 2026",0,https://icodrops.com/opinion-labs/
Block Street,BSB,Binance Alpha Airdrop,$11.5 M,$198.8 M,2,,DeFi,—,"Mar 4, 2025",0,https://icodrops.com/block-street/
x,IDOS,Public Sale,$4.5 M,$13.45 M,5,,Blockchain Service,—,"Feb 25, 2026",0,https://icodrops.com/idos/
Bitway,BTW,Binance Wallet Booster Program,$5.44 M,$288.6 M,,,DeFi,—,"Jan 13, 2026",0,https://icodrops.com/bitway/
Euphoria,,Incentivized Activities,$7.5 M,—,8,,DeFi,—,"Feb 16, 2026",0,https://icodrops.com/euphoria/
Fabric Protocol,ROBO,Binance Alpha Airdrop,—,—,—,,Blockchain Infrastr…,—,"Feb 27, 2026",0,https://icodrops.com/fabric-protocol/
USD.AI,CHIP,Public Sale on CoinList,$17.4 M,$300 M,6,,DeFi,—,"Feb 22, 2026",0,https://icodrops.com/usd-ai/
Flying Tulip,FT,Public Sale,$431.5 M,$966.4 M,13,,DEX,0.98x,"Feb 16, 2026",0,https://icodrops.com/flying-tulip/
Turbo Battle Arena,TBA,IDO on Spores,—,$7.5 M,—,,GameFi,—,"Feb 20, 2026",0,https://icodrops.com/turbo-battle-arena/
Zama,ZAMA,GemPool on Kucoin,$229 M,$262.57 M,6,,Privacy Coin,0.48x,"Feb 2, 2026",0,https://icodrops.com/zama/
CAP,,ICO on Uniswap,$9.9 M,—,36,,DeFi,—,"Feb 9, 2026",0,https://icodrops.com/cap-3/
PENXCHAIN,PENX,IDO on Spores,—,$3 M,—,,Blockchain Service,—,"Feb 12, 2026",0,https://icodrops.com/penxchain/
Warp Chain,WRP,IDO on Eesee,—,$37.5 M,—,,Blockchain,—,"Feb 10, 2026",0,https://icodrops.com/warp-chain/
Huddle01,HUDL,Public Sale,$4.5 M,—,8,,Social,—,"Feb 6, 2026",0,https://icodrops.com/huddle01/
ChimpX AI,CHIMP,IDO on Poolz,—,$30 M,—,,DeFi,—,"Feb 9, 2026",0,https://icodrops.com/chimpx-ai/
Magicblock,BLOCK,Presale,$10.5 M,—,11,,Infrastructure,—,"Feb 5, 2026",0,https://icodrops.com/magicblock/
Chatllat,CLAT,IDO on Spores,—,$6 M,—,,Blockchain Service,—,"Feb 4, 2026",0,https://icodrops.com/chatllat/
Rainbow,RNBW,Binance Alpha Airdrop,$19.5 M,$16.61 M,3,,Blockchain Service,0.17x,"Feb 5, 2026",0,https://icodrops.com/rainbow/
Warden Protocol,WARD,Binance Alpha Airdrop,$4 M,$4.86 M,—,,Protocol,0.02x,"Feb 4, 2026",0,https://icodrops.com/warden-protocol/
Tria,TRIA,Binance Alpha Airdrop,$12 M,$292.6 M,1,,Neobank,1.84x,"Feb 3, 2026",0,https://icodrops.com/tria/
EarnPark,PARK,Token Sale Tier 4,$3.51 M,$18 M,—,,Finance,—,"Jan 8, 2026",0,https://icodrops.com/earnpark/
Infinex,INX,Binance Alpha Airdrop,$130.58 M,$116.7 M,39,,DEX,0.58x,"Jan 30, 2026",0,https://icodrops.com/infinex/
Kindred Labs,KIN,Binance Alpha Airdrop,—,—,—,,Artificial Intellig…,—,"Jan 30, 2026",0,https://icodrops.com/kindred-labs/
Immunefi,IMU,GemPool on Kucoin,$37 M,$27.35 M,10,,Artificial Intellig…,0.23x,"Jan 29, 2026",0,https://icodrops.com/immunefi/
HeyElsa,ELSA,Launchpool on Bybit,$3 M,$63.23 M,7,,AI Agents,0.22x,"Jan 20, 2026",0,https://icodrops.com/heyelsa/
Moonbirds,BIRB,Binance Alpha Airdrop,—,$131.2 M,,,NFT,—,"Jan 28, 2026",0,https://icodrops.com/moonbirds/
Fight.ID,FIGHT,Launchpool on Bybit,—,—,—,,Blockchain Service,—,"Jan 22, 2026",0,https://icodrops.com/fightid/
Somate,SOMT,IDO on Spores,—,$50 M,—,,Blockchain Service,—,"Jan 26, 2026",0,https://icodrops.com/somate/
Sanity United,SUT,IDO on Spores,—,$40 M,—,,Artificial Intellig…,—,"Jan 23, 2026",0,https://icodrops.com/sanity-united/
MetaMask,MASK,Point System Activity,—,—,—,,Wallet,—,"Oct 28, 2025",0,https://icodrops.com/metamask/
ETHGAS,GWEI,Binance Alpha Airdrop,$12 M,$407.2 M,6,,Infrastructure,1.49x,"Jan 21, 2026",0,https://icodrops.com/ethgas/
Acurast,ACU,Binance Alpha Airdrop,$20.4 M,$86.07 M,8,,DePIN,0.99x,"Jan 20, 2026",0,https://icodrops.com/acurast/
Sentient,SENT,Binance Wallet Sale,$92.6 M,$602.33 M,10,,Artificial Intellig…,1.59x,"Jan 19, 2026",0,https://icodrops.com/sentient/
RollX,ROLL,Binance Alpha Airdrop,—,$76.54 M,—,,Perpetual,0.79x,"Jan 16, 2026",0,https://icodrops.com/rollx/
Space,SPACE,Public Sale,$17.75 M,$69 M,1,,Prediction,—,"Jan 17, 2026",0,https://icodrops.com/space/
Sport.Fun,FUN,Binance Alpha Airdrop,$3.5 M,—,2,,GameFi,—,"Jan 15, 2026",0,https://icodrops.com/sportfun/
Owlto Finance,OWL,Binance Alpha Airdrop,$8 M,$9.72 M,12,,Cross-Сhain Communi…,0.08x,"Jan 15, 2026",0,https://icodrops.com/owlto-finance/
Brevis,BREV,Airdrop,$7.5 M,$116.1 M,3,,Zero Knowledge,1.71x,"Jan 15, 2026",0,https://icodrops.com/brevis/
Fogo,FOGO,Binance Wallet Sale,$20.5 M,$184.64 M,4,,Blockchain,0.53x,"Jan 13, 2026",0,https://icodrops.com/fogo/
TroveMarkets,TROVE,ICO,$11.45 M,$13.75 T,—,,DeFi,17601651.17x,"Jan 8, 2026",0,https://icodrops.com/trovemarkets/
Ranger,RNGR,ICM on MetaDAO,$1.9 M,$7.78 M,15,,DEX,0.5x,"Jan 6, 2026",0,https://icodrops.com/ranger/
DeepNode AI,DN,Binance Alpha Airdrop,$5 M,$10.45 M,3,,Artificial Intellig…,0.07x,"Jan 9, 2026",0,https://icodrops.com/deepnode-ai/
PlusMore,PLUS,IDO on Polkastarter,—,$10 M,—,,RWA (Real World Ass…,—,"Jan 8, 2026",0,https://icodrops.com/plusmore/
ZenChain,ZTC,Binance Wallet Sale,$10 M,$15.86 M,,,Blockchain,0.21x,"Jan 7, 2026",0,https://icodrops.com/zenchain/
Spur Protocol,SON,IDO on KingdomStarter,—,$30 M,—,,DeFi,—,"Jan 6, 2026",0,https://icodrops.com/spur-protocol/
Depinsim,,Binance Alpha Airdrop,$8 M,$5.52 M,4,,DePIN,0.05x,"Jan 5, 2026",0,https://icodrops.com/depinsim/
oooo,OOOO,Binance Alpha Airdrop,—,—,—,,Blockchain Service,—,"Dec 30, 2025",0,https://icodrops.com/oooo/
Alliance Games,COA,Incentivized Activities,$8 M,$123.04 K,5,,Gaming,0.01x,"Dec 31, 2025",0,https://icodrops.com/alliance-games/
Lighter,LIT,IEO on MEXC Launchpad,$68 M,$863.4 M,1,,Perpetual,0.43x,"Dec 24, 2025",0,https://icodrops.com/lighter/
Solstice,SLX,Public Sale,—,—,—,,DeFi,—,"Dec 22, 2025",0,https://icodrops.com/solstice/
Octra,OCT,ICM on Sonar,$8 M,$200 M,10,,Infrastructure,—,"Dec 18, 2025",0,https://icodrops.com/octra/
TradeTide AI,TTD,Binance Alpha Airdrop,—,$786.2 K,2,,Blockchain Service,0.03x,"Dec 20, 2025",0,https://icodrops.com/tradetide-ai/
Kodiak,KDK,IEO on Gate.io,$5.95 M,$22.85 M,27,,DEX,0.66x,"Dec 19, 2025",0,https://icodrops.com/kodiak-2/
Gensyn,AI,Public Sale,$66.74 M,$473 M,15,,Blockchain Service,—,"Dec 15, 2025",0,https://icodrops.com/gensyn/
RateX,RTX,Binance Alpha Airdrop,$7 M,$161 M,12,,DEX,—,"Dec 19, 2025",0,https://icodrops.com/ratex/
zkPass,,Binance Alpha Airdrop,$15 M,$70.41 M,12,,Blockchain Service,0.47x,"Dec 19, 2025",0,https://icodrops.com/zkpass/
AgentLISA,LISA,Binance Alpha Airdrop,$12 M,—,5,,Artificial Intellig…,—,"Dec 18, 2025",0,https://icodrops.com/agentlisa/
